product_id,actual_price,rating,category_Car&Motorbike,category_Computers&Accessories,category_Electronics,category_Health&PersonalCare,category_Home&Kitchen,category_HomeImprovement,category_MusicalInstruments,category_OfficeProducts,category_Toys&Games
B0B61GCHC1,999.0,4.3,False,True,False,False,False,False,False,False,False
B07RX14W1Q,900.0,4.4,False,False,True,False,False,False,False,False,False
B09PLD9TCD,42999.0,4.2,False,False,True,False,False,False,False,False,False
B0B8ZKWGKD,1052.0,4.3,False,False,True,False,False,False,False,False,False
B09NNJ9WYM,19990.0,3.7,False,False,True,False,False,False,False,False,False
B08H5L8V1L,1099.0,4.3,False,True,False,False,False,False,False,False,False
B0B8CXTTG3,25999.0,4.2,False,False,True,False,False,False,False,False,False
B09HCH3JZG,1899.0,4.4,False,False,True,False,False,False,False,False,False
B097JVLW3L,3500.0,3.5,False,False,True,False,False,False,False,False,False
B09SB6SJB4,599.0,4.1,False,True,False,False,False,False,False,False,False
B08NW8GHCJ,999.0,4.3,False,True,False,False,False,False,False,False,False
B09YHLPQYT,600.0,4.2,False,False,True,False,False,False,False,False,False
B08G1RW2Q3,799.0,4.0,False,True,False,False,False,False,False,False,False
B08YXJJW8H,399.0,3.9,False,False,True,False,False,False,False,False,False
B09P8M18QM,2999.0,3.3,False,False,True,False,False,False,False,False,False
B08BG4M4N7,499.0,3.8,False,False,True,False,False,False,False,False,False
B07VJ9ZTXS,599.0,4.0,False,False,True,False,False,False,False,False,False
B084872DQY,14999.0,4.3,False,False,True,False,False,False,False,False,False
B00GGGOYEU,699.0,3.9,False,True,False,False,False,False,False,False,False
B08FD2VSD9,51990.0,4.2,False,False,True,False,False,False,False,False,False
B0BQRJ3C47,999.0,5.0,False,True,False,False,False,False,False,False,False
B095JPKPH3,69999.0,4.1,False,False,True,False,False,False,False,False,False
B087JWLZ2K,50000.0,3.9,False,False,True,False,False,False,False,False,False
B09DSXK8JX,19499.0,4.2,False,False,True,False,False,False,False,False,False
B08V9C4B1J,999.0,4.3,False,True,False,False,False,False,False,False,False
B08PKBMJKS,499.0,3.8,False,False,True,False,False,False,False,False,False
B0B8VQ7KDS,2499.0,4.3,False,False,True,False,False,False,False,False,False
B086JTMRYL,1899.0,4.4,False,True,False,False,False,False,False,False,False
B09RWQ7YR6,69999.0,4.3,False,False,True,False,False,False,False,False,False
B00OFM6PEO,799.0,4.3,False,True,False,False,False,False,False,False,False
B0BF57RN3K,19999.0,4.2,False,False,True,False,False,False,False,False,False
B0B3RRWSF6,9999.0,4.3,False,False,True,False,False,False,False,False,False
B0B5B6PQCT,7990.0,3.8,False,False,True,False,False,False,False,False,False
B08HV83HL3,2199.0,4.3,False,False,True,False,False,False,False,False,False
B0BBN4DZBD,8999.0,4.0,False,False,True,False,False,False,False,False,False
B0B3CPQ5PF,28999.0,4.3,False,False,True,False,False,False,False,False,False
B0B3CQBRB4,28999.0,4.3,False,False,True,False,False,False,False,False,False
B0BBN56J5H,8999.0,4.0,False,False,True,False,False,False,False,False,False
B0BBN3WF7V,8999.0,4.0,False,False,True,False,False,False,False,False,False
B0BDRVFDKP,1000.0,4.4,False,False,True,False,False,False,False,False,False
B0B5LVS732,4999.0,4.1,False,False,True,False,False,False,False,False,False
B09V2Q4QVQ,1599.0,4.0,False,False,True,False,False,False,False,False,False
B09V12K8NT,6990.0,3.9,False,False,True,False,False,False,False,False,False
B01DEWVZ2C,999.0,4.1,False,False,True,False,False,False,False,False,False
B0BMGB3CH9,11999.0,4.2,False,False,True,False,False,False,False,False,False
B08D77XZX5,2499.0,3.9,False,False,True,False,False,False,False,False,False
B09XB8GFBQ,11999.0,4.0,False,False,True,False,False,False,False,False,False
B07WG8PDCW,1299.0,4.0,False,False,True,False,False,False,False,False,False
B07GPXXNNG,999.0,4.1,False,False,True,False,False,False,False,False,False
B0BDYVC5TD,1800.0,4.4,False,False,True,False,False,False,False,False,False
B0BMGB2TPR,11999.0,4.2,False,False,True,False,False,False,False,False,False
B08MC57J31,2499.0,4.3,False,False,True,False,False,False,False,False,False
B08HVL8QN3,2199.0,4.3,False,False,True,False,False,False,False,False,False
B0746JGVDS,999.0,3.9,False,False,True,False,False,False,False,False,False
